suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
"L98.9, unspecified pruritus",kaPavAtika/visPoTaH,O-46.7,80%,"The symptoms of itching (kaṇḍūḥ), heaviness (guru), and a sensation of being wet (staimitya) suggest a skin condition with pruritus as the dominant feature;  the lack of specific details necessitates using an unspecified pruritus code.",,,,,,,,
"Disorders of the testis and epididymis, unspecified",vRuShaNakacCUH,O-47 (SN40),60%,"The vernacular term 'vṛṣaṇakacchūḥ' translates to something related to the testicles (vṛṣaṇa) and possibly a shell-like structure (kacchūḥ), suggesting a disorder affecting the testicles or epididymis; however, without further definition, a precise ICD-11 mapping remains uncertain.",,,,,,,,
Anal fissure,sanniruddhagudaH,O-49 (SM5Y),90%,"The term 'sanniruddhagudaH' translates to 'obstructed anus' which strongly suggests an anal fissure, a condition characterized by a tear in the lining of the anus, causing obstruction and pain.  Further investigation is needed given the lack of detailed definitions.",,,,,Shuqāq al-Maq‘ad,F-102,95%,"The Unani term 'Shuqāq al-Maq‘ad' explicitly translates to 'anal fissure', and the provided long definition aligns perfectly with the clinical presentation and etiological factors of anal fissures as classified under the ICD-11."
"Unspecified malignant neoplasm of lymphoid, hematopoietic and related tissue",SyAvapiNDikA,O-50 (SN5Y),60%,"Without further information on the symptoms and pathology associated with 'SyAvapiNDikA', a malignant neoplasm is a possible, albeit broad, ICD-11 mapping based on the term's potential indication of a dark (Shyava) mass (piNDikA), although this is highly speculative and requires additional clinical data for accurate classification.",,,,,,,,
"Sleep disorders and insomnia, not elsewhere classified",Alasyam,O-51,70%,"While 'Alasyam' (आलस्यम्) broadly translates to lethargy or sluggishness,  in Ayurvedic context, it often manifests as a symptom associated with disturbed sleep patterns and lack of energy, aligning with the broader category of sleep disorders in ICD-11.",,,,,,,,
"XA00, unspecified mental disorder",glAniH,O-53 (SP9Y),60%,"Given the lack of specific definitions for 'glAniH', and its appearance as an Ayurvedic code, it's impossible to pinpoint a precise ICD-11 equivalent.  However,  'glAniH' potentially encompasses a range of mental health states, leading to the broadest possible ICD-11 category as the most suitable approximation.",,,,,,,,
RA06.1-Other specified disorders of the respiratory tract,kaPajaviSha,P-3,90%,"The symptoms of breathlessness (śvāsaḥ), choking sensation (galagrahaḥ), and salivation (lālā) along with vomiting (vamathuḥ) and itching (kaṇḍūḥ), while having a less prominent Vata and Pitta component, point towards a respiratory disorder, with 'Other specified disorders of the respiratory tract' being the closest fit in ICD-11, given the lack of more specific information.",,,,,,,,
T65- Poisoning by other substances specified,viShasevanajanya lakShaNa,P-4,90%,"The symptoms described – frequent dark stools, abdominal distension, hot tears, discoloration, exhaustion, and frothy vomiting – strongly suggest a severe poisoning event, aligning with the ICD-11 category for unspecified poisonings, encompassing a broad range of toxin exposures whose specific agent is not identified.",,,,,,,,
Z99.1 - Contact with and (suspected) exposure to other biological factors,nirviShapuruShaH,P-5,90%,"The description of nirviShapuruShaH indicates a state of overall health and equilibrium across doshas, dhatus, and bodily functions, implying the absence of disease.  Z99.1, while not a diagnosis, reflects a state of absence of a clinically significant condition, fitting the description better than any specific disease category.",,,,,,,,
Foodborne illness,annapAnAdi viShalakShaNa,PA,60%,"The term 'annapAnAdi viShalakShaNa' translates to symptoms related to food and drink poisoning, broadly encompassing various foodborne illnesses which have multiple ICD-11 entries depending on the specific pathogen; therefore, this is a general mapping.",,,,,,,,
Acute cerebrovascular disease,viShaduShTa-annabAShpasevanam,PA-2,80%,"The symptoms described—precordial pain, rolling of eyes, headache, and syncope—suggest a possible acute neurological event, aligning most closely with acute cerebrovascular disease in ICD-11, although further investigation would be needed to rule out other possibilities.",,,,,,,,
Other specified hand disorders,viShAnnasparSa/pANiviShaH,PA-3,90%,"The symptoms described – swelling, numbness, burning, pain, nail changes, itching, fever, blisters, and hair loss – point to a complex hand disorder not specifically fitting into other ICD-11 categories, making 'Other specified hand disorders' the most suitable and encompassing choice.",,,,,,,,
K70.1-Oral mucosal diseases,saviSha-ku~jjarAdi vAhana/yAna,PA-4,80%,"The symptoms described, including stony hard tongue, loss of taste, pricking and burning pain, and excessive salivation, point towards an inflammatory or painful condition of the oral mucosa, aligning with K70.1, although more information would be needed for a definitive diagnosis.",,,,,,,,
Toxic shock syndrome,lUtAviSha-ShaShThadina-avasthAviSeShaH,PE-6.25.6,60%,"The description 'poison widely spreading completely envelopes all the vital regions' suggests a systemic toxic reaction, aligning with the broad definition of toxic shock syndrome in ICD-11, although further information would be needed for a more confident mapping.",,,,,,,,
"Gastrointestinal infection, unspecified",AmASayagata-viShaH,PA-7,90%,"The numerous symptoms described, including vomiting, diarrhea, abdominal distension, nausea, and general malaise, strongly suggest a gastrointestinal infection. The Ayurvedic term 'AmASayagata-viShaH' implies poisoning related to the stomach (AmASaya), further supporting this diagnosis.",,,,,,,,
KF00.9 Unspecified gastrointestinal disorder,pakvASayagataviShaH,PA-8,90%,"The extensive symptoms described in the long definition, including abdominal distension, diarrhoea, vomiting, and changes in urine and stool colour, point to a broad gastrointestinal disorder.  The lack of more specific symptoms prevents a more precise ICD-11 mapping.",,,,,,,,
6A00.0 - Gingivitis,saviSha dantanakhakShataH,PA-9,90%,"The symptoms described, including gum swelling (dantamāṁsaśōphaḥ), redness (rāgaḥ), pain (rujā), swelling of lips and tongue, and suppuration (pacyatē), strongly suggest gingivitis, a common inflammatory condition of the gums.  The mention of tooth brush destruction might be secondary to the inflammation.",,,,,,,,
"AB00.0, Atopic dermatitis",saviSha-aBya~ggam,PA-10,90%,"The symptoms of  saviSha-aBya~ggam, including itching (kaṇḍūḥ), wheals (kōṭhaḥ), papules (piḍakā), oedema (śōthaḥ), blisters (sphōṭaḥ), and skin fissuring (māṁsadaraṇam, avadāraṇam), strongly suggest atopic dermatitis, a common inflammatory skin condition characterized by these symptoms.  The presence of fever and discharge, while less typical of atopic dermatitis, do not exclude it completely and may represent secondary infection.",,,,,,,,
AB45.1-Atopic dermatitis,saviSha-BUShaNa dhAraNA/ala~gkAraH,PA-25,90%,"The described symptoms of  dāhaḥ (burning), pākaḥ (inflammation), avadāraṇam (fissuring), kaṇḍūḥ (itching),  śōthaḥ (oedema), and various skin eruptions (kōṭhaḥ, piḍakā) strongly suggest atopic dermatitis, aligning with the ICD-11 criteria for this chronic inflammatory skin condition.",,,,,,,,
Disorders of hair and hair follicles,saviSha-avalekhanam,PA-12,90%,"The symptoms described—hairfall (kēśaśātaḥ), headache (śirōduḥkham), bleeding from hair pores (khēbhyaḥ rudhirāgamaḥ), and scalp nodules (uttamāṅgēṣu granthijanmaḥ)—point towards a disorder primarily affecting the hair and scalp, best fitting within the broader category of 'Disorders of hair and hair follicles' in ICD-11, rather than a specific diagnosis which would require more precise clinical information.",,,,,Amrāḍ-i-Sha‘r,JD,90%,"The Unani term 'Amrāḍ-i-Sha‘r' explicitly refers to diseases of the hair, directly corresponding to the ICD-11 category encompassing hair and follicle disorders, encompassing conditions like alopecia and other hair-related pathologies."
Disorders of hair and hair follicle,saviSha-SiroBya~ggam,PA-13,90%,"The symptoms described, including hair fall (kēśacyutiḥ), headache (śirōruk), scalp nodules (granthijanma), and scalp bleeding (khēbhyaḥ rudhirāgamaḥ), strongly suggest a disorder primarily affecting the hair and hair follicles, aligning with the broad category of 'Disorders of hair and hair follicle' in ICD-11, pending further investigation for a more precise sub-classification.",,,,,,,,
"AB44.8, Other specified skin conditions",saviSha-vastradhAraNam,PA-15,90%,"The symptoms described—itching (kaṇḍūḥ), pain (artiḥ), wheals (kōṭhaḥ), papules (piḍakā), horripilation (rōmōdgamaḥ), tingling (cimicimāyanam), and edema (śōthaḥ)—collectively point towards a skin condition not specifically categorized elsewhere, fitting under 'Other specified skin conditions' in ICD-11.",,,,,,,,
"AB44.8, Other specified pruritic dermatoses",saviSha-varNakaH,PA-16,90%,"The symptoms described – itching (kaṇḍūḥ), pain (artiḥ), wheals (kōṭhaḥ), papules (piḍakā), horripilation (rōmōdgamaḥ), tingling (cimicimāyanam), and edema (śōthaḥ) – strongly suggest a pruritic dermatosis, with 'other specified' encompassing the less precise nature of the traditional description.",,,,,,,,
"AB45.1, Acute eczema",saviSha-mukhalepaH,PA-17,90%,"The described symptoms of saviSha-mukhalepaH, including itching (kaṇḍūḥ), wheals (kōṭhaḥ), papules (piḍakā), blisters (sphōṭaḥ), discharge (srāvaḥ), and skin fissuring (māṁsadaraṇam, avadāraṇam), strongly suggest an acute eczematous reaction, aligning with ICD-11's AB45.1.",,,,,,,,
Other specified skin disorders,saviSha-ku~jjarAdi vAhana/yAna,PA-18,80%,"The symptoms described, including burning sensations, blisters, skin cracking, and suppuration, point towards a broad category of skin disorders within ICD-11, with 'Other specified skin disorders' being the most suitable given the lack of more precise information to pinpoint a single, specific condition.",Vaḷi,BUA,70%,"The broad description of 'miscellaneous skin diseases' under the Siddha term 'Vali' points to a category encompassing various skin conditions not specifically detailed, aligning best with the ICD-11's 'Other specified skin disorders' which also covers unspecified dermatological issues.",,,,
6A00.0-Headache disorders,saviSha-puShpagandhaH/saviShamAlyopayoga,PA-20,70%,"The symptoms described – headache (śirōrujā/śirōduḥkham), horripilation (lōmaharṣakaram), discolouration (vivarṇatvam), and watery eyes (vāripūrṇalōcanam) – are non-specific but broadly consistent with various headache disorders within the ICD-11 chapter, with the most encompassing term being 'Headache disorders'.",,,,,,,,
Skin infection due to contact with plant or animal products,viShajuShTa-pAdukAdhAraNam,PA-23,90%,"The symptoms of edema, discharge, numbness in the feet, and blisters strongly suggest a localized skin reaction, likely caused by contact with a plant or animal product, aligning with the description of viShajuShTa-pAdukAdhAraNam which implies a poisonous substance contact on the feet.",,,,,,,,
R06.02 Sepsis,viShadigdha-viddhaH/viShadigdha Sastra/viShaliptaSastrahataH,PA-26,90%,"The extensive symptoms described, including fever (jvaraḥ),  multiple pains (various vēdanā),  discoloration and lesions (āraktapītaparyantaḥ śyāvamadhyaḥ atirugvraṇaḥ, māṁsakr̥ṣṇatā),  suppuration (pacyatē),  and potential systemic involvement (mūrcchā, kṣaṇāt śvāsakaraḥ) strongly suggest a severe infectious process consistent with sepsis in ICD-11.",,,,,,,,
Other specified disorders of salivation,tuNDAhataH,PA-27,70%,"The Ayurvedic term 'tuNDAhataH', characterized by excessive salivation ('lālāpariklēdam') without bite marks ('na daṁṣṭrākr̥taṁ daṁśam'), points towards a disorder of salivation not explicitly specified elsewhere, thus fitting within the 'Other specified disorders of salivation' category in ICD-11.",,,,,,,,
"Other specified nonvenomous bite, sting, and contact with venomous or nonvenomous animals and arthropods",vyAlIDhaH,PA-28,90%,"The Ayurvedic description of 'vyAlIDhaH' points to a non-venomous bite (one or two bite signs, no bleeding) which aligns best with ICD-11's category encompassing unspecified bites, particularly given the absence of bleeding and venom-related symptoms.",,,,,,,,
Bleeding disorder unspecified,vyAluptaH,PA-29,70%,"The description 'dvē daṁṣṭrāpadam [two], saśōṇitam [with bleeding]' points to a bleeding disorder, although the 'two' aspect is unclear and lacks further specification for a more precise ICD-11 code.  The lack of detailed clinical presentation limits confidence.",,,,,,,,
"Wounds, intentional self-inflicted and undetermined intent, of the head and neck",daShTakaH,PA-30,90%,"The description of 'three teeth marks', 'cutting of muscle', and 'continuous bleeding' strongly suggests a penetrating wound, potentially self-inflicted, given the lack of external agent specification in the provided context.  The head and neck area is implied due to the nature of bites, though this is a point of slightly lower confidence.",,,,,,,,
AB16.1  Animal bite and sting,daShTanipIDitaH,PA-31,90%,"The term 'daShTanipIDitaH' explicitly mentions 'four bite marks', directly indicating an injury caused by an animal bite, aligning with ICD-11's AB16.1 category for animal bites and stings.",,,,,,,,
"Toxicological effects of venomous animals and other poisonous organisms, unspecified",saviSha-daMSaH,PA-32,90%,"The symptoms described in the long definition of 'saviSha-daMSaH', including localized numbness, black bleeding, precordial pain, fever, swelling, and skin lesions, strongly suggest envenomation, encompassing a broad range of effects aligning with the ICD-11 category 'Toxicological effects of venomous animals and other poisonous organisms, unspecified'.",,,,,,,,
6A00.0 - Glossopharyngeal neuralgia,saviSha-aByavaharaNam,PA-33,90%,"The symptoms described, such as tingling, burning sensations in the mouth and lips, heaviness of the tongue and jaw stiffness, strongly suggest a neuralgia affecting the glossopharyngeal nerve, aligning with the ICD-11 definition of Glossopharyngeal neuralgia.",,,,,,,,
"Waterborne diseases, unspecified",viShaduShTa-jala,PA-34,90%,"The description of 'viShaduShTa-jala' encompassing features like foul smell, froth, discoloration, death of aquatic life, and palpation-induced pain and edema strongly suggests contaminated water causing a range of waterborne illnesses, aligning with the broad ICD-11 category of unspecified waterborne diseases.",,,,,,,,
Toxic epidermal necrolysis,saviSha-BUmisparSanam,PA-36,90%,"The symptoms described, including oedema, burning sensation, hair loss, nail loss, itching, pain, vomiting, syncope, fever, confusion, and headache, strongly suggest a severe systemic reaction like toxic epidermal necrolysis, aligning with its widespread inflammatory and multi-systemic effects.",,,,,,,,
"Pain in unspecified body region, unspecified site, and unspecified etiology",viShavegaH,PB,70%,"The description of 'viShavegaH' as characterized by rujā (pain) and tōdaḥ (pricking pain) points towards a general pain condition.  Lacking specifics, this is the closest ICD-11 match.",,,,,,,,
"6A00.0 Visual disturbances, unspecified",pa~jcama-viShavegaH,PB-5,80%,"The described symptom of 'blue vision or dark vision' (nīlādīnāṁ tamasaśca darśanam) in pa~jcama-viShavegaH points towards visual disturbances as the primary manifestation, aligning with ICD-11 code 6A00.0, which encompasses unspecified visual disturbances.  While more specific information is needed for a higher confidence, visual disturbances remain the most suitable mapping based on the available data.",,,,,,,,
8A70-Singultus,ShaShTha-viShavegaH,PB-6,90%,"The defining characteristic of ShaShTha-viShavegaH,  hikkā (hiccup), directly corresponds to the ICD-11 code 8A70, which specifically classifies singultus (hiccups).",,,,,,,,
"Toxicosis due to plants, other specified substances or biological sources",sthAvaraviShaH,PC (SQ6Y),60%,"While the exact plant or substance is unknown,  स्थावरविषः (sthAvaraviShaH) clearly refers to poisoning from a stationary (sthAvara) source, likely a plant, suggesting a broad classification under toxicosis from plant-based sources within ICD-11.",,,,,,,,
8E00-Epilepsy,patra-viShaH,PC-2,80%,"The symptoms of 'patra-viShaH' – yawning, convulsive movements, and breathlessness – are suggestive of an epileptic seizure, although further investigation would be needed for definitive diagnosis.  The lack of specific details limits confidence.",,,,,,,,
"Toxicological effects of plants and fungi, unspecified",puShpa-viShaH,PC-4,80%,"The symptoms of vomiting (chardiḥ), abdominal distension (ādhmānaḥ), and confusion/delirium (mōhaḥ) following ingestion of 'flower poison' (puShpa-viShaH) strongly suggest a poisoning event, aligning with this broad ICD-11 category.  More specific ICD-11 codes require more detailed toxicology information.",,,,,,,,
Acute nasopharyngitis,tvaka-viShaH,PC-5,70%,"The symptoms of āsyadaurgandhaḥ (halitosis), pāruṣyam (roughness/dryness), śirōruk (headache), and kaphasaṁsravaḥ (mucus secretion) are consistent with the common symptoms of acute nasopharyngitis, although further clinical investigation is needed to rule out other possibilities.",,,,,,,,
"Toxic effects of substances, unspecified",dhAtu-viShaH,PC-9 (SQ6Y),60%,"While 'dhAtu-viShaH' literally translates to 'tissue poison' in Ayurveda, lacking specific details prevents a higher confidence mapping.  The broad ICD-11 category of unspecified toxic effects encompasses the general concept of tissue damage from toxins.",Aiyam,YAC,70%,"The term 'Aiyam' describes toxic symptoms, which aligns with the broad category of 'Toxic effects of substances, unspecified' in ICD-11; however, without more specific symptom details, a more precise ICD-11 code cannot be confidently assigned.",,,,
Acute Pain,kanda-viShaH,PC-10,60%,"The term 'kanda-viShaH' describes a disorder with a 'tīkṣṇam' (sharp/strong) characteristic, which could broadly encompass various acute pain conditions; however, without further clinical details, precise ICD-11 mapping is challenging, hence the moderate confidence score.",,,,,,,,
6A00.0 (Dysarthria),pAlakaviShaH,PC-10.4,80%,"The Ayurvedic term 'pAlakaviShaH' describes neck weakness (grīvādaurbalyam) and speech impediment (vāksaṅgaḥ), which directly correlates with dysarthria, a neurological disorder affecting speech articulation, often secondary to neck muscle weakness.",,,,,,,,
Other headache syndromes,vairATakaviShaH,PC-10.5,70%,"The symptoms described, 'body pain' (aṅgaduḥkham) and 'diseases of the head' (śirōrōgaḥ), are non-specific but suggest a headache disorder.  The lack of precise details prevents a more specific ICD-11 mapping, hence 'Other headache syndromes' is the most appropriate choice.",,,,,Ṣudā‘ Aṭrāfī,A-36.45,70%,"The description of 'Ṣudā‘ Aṭrāfī' as a referred headache originating from extremity morbidity doesn't neatly fit into specific migraine or tension-type headache categories in ICD-11, but aligns better with the broader 'Other headache syndromes' as it describes an atypical presentation with referred pain."
8G70 - Essential tremor,mustakaviShaH,PC-10.6,80%,"The symptoms described, gātrastambhaḥ (stiffness) and vēpathuḥ (tremors/shivering), are strongly indicative of essential tremor, a neurological disorder characterized by involuntary trembling, especially in the hands and arms, aligning with the described symptoms, although further clinical details are needed for definitive diagnosis.",,,,,,,,
Unspecified liver disease,puNDarIkaviShaH,PC-10.8,60%,"The symptoms of redness of the eyes (akṣṇōḥ raktatvam) and abdominal enlargement (udaravr̥ddhiḥ) are non-specific and could indicate various conditions, but liver disease is a possibility considering the abdominal enlargement;  further information is needed for a more confident mapping.",,,,,,,,
Toxicological effects of other specified substances,lUtAviSha-pa~jcamadina-avasthAviSeShaH,PE-6.25.5,60%,"The term 'lUtAviSha-pa~jcamadina-avasthAviSeShaH' describes disorders caused by aggravated poison ('lūtāviṣaprakōpavikāraḥ'), aligning broadly with ICD-11's category for unspecified toxicological effects, though lacking precise symptom details for a more specific code.",,,,,,,,
"Cardiac nodule with severe pain, unspecified",mahAviSha-kandaviShaH,PC-10.11,70%,"The description of 'nodules in the heart' (hr̥dayē granthiḥ) and 'severe pain' (bhr̥śaṁ śūlōdgamaḥ) points towards a cardiac condition involving pain and nodules; however, the lack of further specifics necessitates the use of an unspecified ICD-11 code.",,,,,,,,
"Poisoning by plants, fungi and other specified biological substances",sthAvaraviShavega,PC-11,60%,"While the exact nature of sthAvaraviShavega requires further definition, the term 'sthAvara' (stationary) and 'viSha' (poison) suggests ingestion or contact with a plant or fungal toxin, aligning it broadly with ICD-11's category for poisoning by biological substances.  The confidence is low due to lack of specific details.",,,,,,,,
8E00-Other specified disorders of the nervous system,sthAvara-prathama-viShavegaH,PC-11.1,80%,"The symptoms described, including syncope (mūrcchā), breathlessness (śvāsaḥ), exhaustion (klamaḥ), and vomiting (vamiḥ), alongside the tongue manifestations (blackish and stiff), point towards a neurological disorder.  The lack of more specific details makes 'Other specified disorders of the nervous system' the most suitable broad category.",Mukkuṟṟa Cerukku Nōy,KFD1.1,70%,"The symptoms described in the definition—decreased physical strength, tremors, sleep disturbance, and neurological symptoms like hiccups and difficulty breathing—point towards a generalized neurological disorder, although the specific ICD-11 code is uncertain without a definitive diagnosis.  The 'derangement of Mukkutram' suggests a systemic imbalance not directly mapped to a single ICD-11 category, making 'Other specified disorders of the nervous system' the most plausible option.",,,,
8A00-Other specified disorders of the eye and adnexa,sthAvara-tRutIya/viShavegaH,PC-11.3,70%,"The symptoms described, including dryness of the palate, epigastric pain, and discoloration, swelling, and weakness of the eyes, point towards a constellation of symptoms that could be broadly classified under 'other specified disorders of the eye and adnexa' in ICD-11; however, a more precise ICD-11 mapping requires additional clinical information to rule out other specific ophthalmological or gastrointestinal conditions.",,,,,,,,
"RA01.0, unspecified inflammatory polyarthritis",sthAvara-pa~jcama-viShavegaH,PC-11.5,70%,"The symptoms described, including joint pain (parvabhēdaḥ), mucoid expectoration (kaphaprasēkaḥ), and general vitiation (sarvadōṣaprakōpaḥ), suggest an inflammatory condition affecting multiple joints, aligning most closely with unspecified inflammatory polyarthritis; however, the lack of specificity in the provided description limits the confidence.",,,,,,,,
"8G70, Spinal muscular atrophy",sthAvara-saptama-viShavegaH,PC-11.7,70%,"The described symptoms of sthAvara-saptama-viShavegaH, including shoulder and back muscle weakness (skandhabhaṅgaḥ, pr̥ṣṭhabhaṅgaḥ), and respiratory difficulties (sannirōdhaḥ), along with the potentially fatal outcome (mr̥tyuḥ), show significant overlap with the progressive muscle weakness and respiratory complications characteristic of spinal muscular atrophy.  The 'breaking sensation' might reflect the perceived loss of function.",,,,,,,,
Other specified poisoning,dUShIviShaH/kRutrimaviShaH,PD,90%,"The extensive symptoms described, including gastrointestinal issues (loose stools, vomiting, diarrhoea), neurological symptoms (syncope, confusion, delirium, stuttering), dermatological manifestations (skin eruptions, edema, discolouration), and systemic effects (emaciation, fever,  death), strongly suggest a severe form of poisoning, encompassing a broad range of effects not specifically fitting into a single, more precise ICD-11 category.",Akkiṉi Viṭapākam,YAB1.2,90%,"The symptoms described, including nausea, vomiting, drooling, emaciation, dyspnea, and abdominal distension, point towards a poisoning, aligning with the broad category of 'Other specified poisoning' in ICD-11; the lack of specific toxin identification necessitates this broad classification.",,,,
8A60 - Malaise and fatigue,dUShIviShapUrvarupa,PD-1,70%,"The symptoms described, including sleepiness (nidrā), heaviness (gurutvam), bodyache (aṅgamardaḥ), and general malaise, align with the broad definition of malaise and fatigue in ICD-11, although it lacks specificity and could potentially map to other categories depending on further clinical details.",,,,,,,,
AB12.0  Necrotizing fasciitis,dUShIviSha/kITadaShTaH,PD-2,90%,"The symptoms described, including blackish discoloration, quick suppuration, oedema, and fever, strongly suggest a severe infection leading to tissue necrosis, aligning with the characteristics of necrotizing fasciitis in ICD-11.  The presence of 'web of vessels' could indicate the spread of the infection.",,,,,,,,
Poisoning by venomous arthropods,dUShIviSha/lUtAdaShTaH,PD-3,60%,"The vernacular term 'दूषीविष/लूतादष्टः' suggests poisoning from a venomous insect or arachnid (दूषीविष implies poison, लूतादष्टः suggests a bite/sting), which aligns with the broad category of arthropod envenomation in ICD-11, though more specific details are needed for higher confidence.",,,,,,,,
Other specified disorders of nutrition and metabolism,dhAtugata-dUShIviSham,PD-5,80%,"The Ayurvedic description of dhAtugata-dUShIviSham, highlighting ailments stemming from dhātu imbalances (tissues) manifesting as anorexia and food aversion, points towards nutritional and metabolic disturbances, aligning best with this broad ICD-11 category given the limited information provided.",,,,,Talṭīf-i-Tadbīr,O-356,80%,"'Talṭīf-i-Tadbīr' focuses on lifestyle advice for lightness and freshness, suggesting a holistic approach to maintaining nutritional balance and metabolic well-being; this aligns best with the broad category of 'Other specified disorders of nutrition and metabolism' within ICD-11, rather than specific conditions which may be addressed by such measures."
"Poisoning by other specified substances, unspecified",asAdhya-dUShIviShaH,PD-6,60%,"The term 'asAdhya-dUShIviShaH' translates to 'incurable poisonous substance', suggesting a severe poisoning case not further specified; ICD-11's 'Poisoning by other specified substances, unspecified' provides a general category for such situations where precise details are lacking.",,,,,,,,
"Toxic effects of venomous animals, insects and other invertebrates",maNDUkadaShTaH,PE-4.14,90%,"The symptoms described – itching, froth from the mouth, burning, vomiting, syncope, and sleep – strongly suggest envenomation, aligning with the broad category of toxic effects from venomous creatures within ICD-11, despite the specific venom not being identified.",,,,,,,,
XE00 Snake bite,ajagarasarpadaShTaH,PE-1.14,90%,"The vernacular term 'अजगरसर्पदष्टः' (ajagarasarpadaShTaH) directly translates to 'bitten by a python', clearly indicating a snake bite, which is classified under XE00 in ICD-11.",,,,,,,,
Snake bite (with systemic effects),sarpita-daShTaH,PE-1.1.1,90%,"The description of 'sarpita-daShTaH' indicating a snake bite with features like swelling (śōphaḥ) and a characteristic mark (cañcumālakayutktaḥ) strongly suggests a snake bite with systemic manifestations, aligning with ICD-11's classification of snake bites.",,,,,,,,
"Insect bite reaction, unspecified",subAdhaka kITadaShTa,PE-4.26,90%,"The Ayurvedic term 'subAdhaka kITadaShTa' describes an inflammatory reaction with pain following an insect bite, aligning with the broad definition of 'Insect bite reaction, unspecified' in ICD-11, encompassing various inflammatory responses without specifying a particular agent.",,,,,,,,
Other specified nonvenomous animal bite (XA9A.9),nirviSha-daShTaH,PE-1.1.3,90%,"The description of 'nirviSha-daShTaH' points to a non-venomous animal bite, indicated by the absence of swelling ('aśōphaḥ') and the presence of only slightly affected blood ('alpaduṣṭāsr̥k'), along with fang marks.  The patient's normal condition further supports a non-venomous bite.",,,,,,,,
Other specified snake venom poisoning,darvIkara-sarpaviShaH,PE-1.2,90%,"The symptoms described, including blackish discoloration of skin, mucous membranes, and urine; neurological symptoms like tremors, weakness, and pain; and gastrointestinal symptoms strongly suggest a severe systemic reaction to snake venom, aligning with the broad category of 'Other specified snake venom poisoning' in ICD-11, given the lack of specific snake species identification within the provided Ayurveda term and description.",,,,,,,,
Snake bite (XE00),darvIkarasarpaviShavega,PE-1.2.1,70%,"The term 'darvIkarasarpaviShavega' directly translates to 'snake venom effect,' strongly suggesting a snake bite as the underlying condition;  while lacking specific details, this is the most likely ICD-11 match based on the available information.",,,,,,,,
"XE00 Systemic effects of venom, toxins and other harmful substances",darvIkarasarpaviSha-prathamaviShavegaH,PE-1.2.1.1,90%,"The symptoms described – blackening of blood, darkening of the body/face, and a sensation of ants crawling on the body – strongly suggest a systemic reaction to a venom, aligning with the broad ICD-11 category XE00, although a more specific ICD-11 code would require further clinical details.",,,,,,,,
"Toxic effect of snake venom, unspecified",maNDalIsarpaviSha-dvitIyaviShavegaH,PE-1.3.1.2,90%,"The symptoms described – yellow discoloration (pītatā), burning sensation (paridāhaḥ), and swelling at the bite site (daṁśaśvayathuḥ/śvayathūdbhavaḥ) – are consistent with a snake bite and its subsequent toxic effects, aligning with the broad ICD-11 category for unspecified snake venom toxicity.  The 'dvitIyaviShavegaH' suggests a second stage or exacerbation of the venom's effects.",,,,,,,,
"XE00 Systemic effects of venom, including envenomation by snakes",darvIkarasarpaviSha-tRutIyaviShavegaH,PE-1.2.1.3,90%,"The symptoms described, including wetness at the bite site, body heaviness, perspiration, and impaired vision, strongly suggest a systemic reaction to snake venom, aligning with the broad category of XE00 in ICD-11, which encompasses various systemic effects of venom.",,,,,,,,
Other specified poisoning by venomous animals and other poisonous substances,darvIkarasarpaviSha-caturthaviShavegaH,PE-1.2.1.4,90%,"The symptoms described – drowsiness, excessive salivation, joint dislocation, excessive expectoration, and vomiting – are consistent with severe snakebite envenomation, aligning with the broader ICD-11 category of 'Other specified poisoning by venomous animals and other poisonous substances' rather than a specific snake venom type.",Kutiraikkaṭi Nañcu,YD43,90%,"The symptoms described, including intense pain, cramps, unconsciousness, and specific neurological manifestations (stiffness, hallucinations), strongly suggest a severe envenomation, aligning with the ICD-11 category encompassing various poisonings not otherwise specified, given the lack of precise toxin identification in 'Kutiraikkaṭi Nañcu'.",,,,
8A71-Other specified disorders of digestive system,darvIkarasarpaviSha-ShaShThaviShavegaH,PE-1.2.1.6,70%,"The symptoms described, including diarrhoea (atisāraḥ), precordial pain (hr̥tpīḍā), and indigestion (avipākaḥ), along with the mention of severe affliction of the 'grahaṇī' organ (which can be interpreted as a digestive issue), point towards a digestive disorder; the lack of specific details prevents a more precise ICD-11 code.",,,,,,,,
"Poisoning by plant toxins, unspecified",asAdhya-dArvIviSha,PE-1.2.2,60%,"The term 'asAdhya-dArvIviSha' suggests an incurable poisoning from plant origin, lacking specific details for a more precise ICD-11 mapping.  The translation points towards a general plant poisoning category.",,,,,,,,
Snake bite (toxic effects of venomous snake bite),maNDalIsarpaviShavega,PE-1.3.1,90%,"The vernacular term 'मण्डलीसर्पविषवेग' (maNDalIsarpaviShavega) directly translates to 'venomous snake bite of a group (of snakes)'  suggesting multiple snake bites and the resulting toxicity, aligning with ICD-11's specific category for venomous snake bites.",,,,,,,,
XE00,maNDalIsarpaviSha-prathamaviShavegaH,PE-1.3.1.1,90%,"The symptoms described – yellow discoloration of the body (jaundice), burning sensation, and blood vitiation – strongly suggest a condition related to poisoning, aligning with the broad category of 'Other specified exogenous (non-infectious) causes of morbidity' in ICD-11, represented by XE00.",,,,,,,,
